date_time,visibility
2023-12-19 20:30:00+00:00,10.0
2023-12-19 20:40:00+00:00,10.0
2023-12-19 20:50:00+00:00,10.0
2023-12-19 21:00:00+00:00,10.0
2023-12-19 21:10:00+00:00,10.0
2023-12-19 21:20:00+00:00,10.0
2023-12-19 21:30:00+00:00,10.0
2023-12-19 21:50:00+00:00,10.0
2023-12-19 22:00:00+00:00,10.0
2023-12-19 22:10:00+00:00,10.0
2023-12-19 22:20:00+00:00,10.0
2023-12-19 22:30:00+00:00,10.0
2023-12-19 22:40:00+00:00,10.0
2023-12-19 22:50:00+00:00,10.0
2023-12-19 23:00:00+00:00,10.0
2023-12-19 23:10:00+00:00,10.0
2023-12-19 23:20:00+00:00,10.0
2023-12-19 23:30:00+00:00,10.0
2023-12-19 23:40:00+00:00,10.0
2023-12-19 23:50:00+00:00,10.0
2023-12-20 00:00:00+00:00,10.0
2023-12-20 00:10:00+00:00,10.0
2023-12-20 00:20:00+00:00,10.0
2023-12-20 00:30:00+00:00,10.0
2023-12-20 00:40:00+00:00,10.0
2023-12-20 00:50:00+00:00,10.0
2023-12-20 01:00:00+00:00,10.0
2023-12-20 01:10:00+00:00,10.0
2023-12-20 01:20:00+00:00,10.0
2023-12-20 01:30:00+00:00,10.0
2023-12-20 01:40:00+00:00,10.0
2023-12-20 01:50:00+00:00,10.0
2023-12-20 02:00:00+00:00,10.0
2023-12-20 02:10:00+00:00,10.0
2023-12-20 02:20:00+00:00,10.0
2023-12-20 02:30:00+00:00,10.0
2023-12-20 02:40:00+00:00,10.0
2023-12-20 02:50:00+00:00,10.0
2023-12-20 03:00:00+00:00,10.0
2023-12-20 03:10:00+00:00,10.0
2023-12-20 03:20:00+00:00,10.0
2023-12-20 03:30:00+00:00,10.0
2023-12-20 03:40:00+00:00,10.0
2023-12-20 03:50:00+00:00,10.0
2023-12-20 04:00:00+00:00,10.0
2023-12-20 04:10:00+00:00,10.0
2023-12-20 04:20:00+00:00,10.0
2023-12-20 04:30:00+00:00,10.0
